file,category,rows,source_studies,fluid,geometry,heating_regime,provenance,notes
01_merged/master_chf_dataset.csv,Merged master,28470,7 datasets,"water, FC-72","tube, annulus, plate, helical coil, pin-fin, flat heater",flow + pool,Programmatic merge of the seven point-level sources,"Main modelling file. 51 columns. kPa, kg/m2s, kW/m2, lengths in mm. source_dataset filled on all rows; reference_id on 91.7% and on none of the pin-fin rows."
02_flow_boiling/nrc_groeneveld_24579pt_chf_database.csv,Flow boiling,24579,60 reference IDs,water,vertical round tube,uniform axial heating,"NRC ADAMS ML22264A009, public, 457 pages, transcribed in full",As transcribed. This is the version used inside the merged master.
02_flow_boiling/nrc_groeneveld_deduplicated_24443.csv,Flow boiling,24443,60 reference IDs,water,vertical round tube,uniform axial heating,"Same source, 136 exact duplicate rows removed",Deduplication has not been pushed through into the merged master.
02_flow_boiling/zhao2020_chf_flowboiling_tubes.csv,Flow boiling,1865,10 authors,water,"tube, annulus, plate",flow boiling,Zhao 2020 compilation,Per-row author column retained. Full bibliographic citation still to be confirmed.
02_flow_boiling/kaeri_tr1665_uniform_chf.csv,Flow boiling,651,10 sources,water,tube,uniform axial heating,KAERI TR-1665,"Source units: pressure in Pa, heat flux in W/m2."
02_flow_boiling/kaeri_tr1665_nonuniform_chf.csv,Flow boiling,888,11 sources,water,tube,non-uniform axial heating,KAERI TR-1665,The only non-uniform-heating set we hold.
02_flow_boiling/helical_coil_r123_appendixCD.csv,Flow boiling,257,"1 paper, 2 appendices",R-123,helical coil,flow boiling,"Hardik & Prabhu, Int. J. Therm. Sci. 125 (2018) 149-165","Appendix C 140 rows, Appendix D 117 rows. CHF range 37.7 to 419.8 kW/m2."
02_flow_boiling/hardik2017_helical_coils_water_lowpressure_chf.csv,Flow boiling,156,1 paper,water,helical coil,low-pressure flow boiling,"Hardik & Prabhu, Appl. Therm. Eng. 112 (2017) 1223-1239, Appendix A",Fluid label corrected. Previously filed as R-123 under the name hardik2016_helical_coils_r123_lowpressure_chf.csv. The source paper uses water; per-coil counts 47/29/18/22/31/9 and mass flux 92-1241 kg/m2s match its Table 4 exactly. CHF range 286 to 2984 kW/m2.
02_flow_boiling/hardik2017_straight_tubes_r123_chf.csv,Flow boiling,55,1 paper,R-123,horizontal straight tube,flow boiling,"Hardik, Kumar & Prabhu, Int. J. Heat Mass Transf. 113 (2017) 466-481, Appendix A",CHF range 74.5 to 337.3 kW/m2.
03_pool_boiling_engineered_surfaces/surface_master.csv,Engineered surface,100,11 papers,water,plate and tube coupons,pool boiling,"Hand-extracted from 11 papers, consolidated","Subject of the manuscript. 88 rows have CHF; 65 have roughness, contact angle and CHF together."
03_pool_boiling_engineered_surfaces/per_paper/,Engineered surface,,11 files,water,various coupons,pool boiling,"One file per source paper, before consolidation","Row counts: 40, 10, 9, 8, 7, 6, 6, 4, 4, 4, 2. Sum 100."
03_pool_boiling_engineered_surfaces/pinfin_master_with_study_labels.csv,Pool boiling,175,16 studies,"water, FC-72",pin-fin surfaces,pool boiling,Pin-fin compilation with study labels filled down,Use this one for any per-study analysis.
03_pool_boiling_engineered_surfaces/pinfin_chf_water_fc72.csv,Pool boiling,175,16 studies,"water, FC-72",pin-fin surfaces,pool boiling,Raw pin-fin compilation,Source column is populated only on the first row of each study block.
03_pool_boiling_engineered_surfaces/strip_pool_boiling_water.csv,Pool boiling,55,"1, supervisor",water,strip heater,pool boiling,"Supervisor's Master file Strip.xlsx, mapped into the modelling schema",Orientation 0 to 180 degrees kept in Angle_deg and Orientation.
04_holdout_digitized/pioro2002_r134a_horizontal_vertical_chf_DIGITIZED.csv,Holdout only,268,1 paper,R-134a,"horizontal and vertical tube, D 6.92 mm",flow boiling,"Pioro, Groeneveld, Leung et al., IJHMT 45 (2002) 4435-4450",Read by eye off scatter plots. Roughly 5 to 10 per cent error. Never used for training.
05_lookup_table_reference/groeneveld_2006_lut_long_format.csv,Tabulated reference,11592,n/a,water,"8 mm vertical tube, normalised",tabulated,"Groeneveld et al., Nucl. Eng. Des. 237 (2007) 1909-1922","Smoothed table, not raw measurement. 504 rows are CHF zero at quality 1.0, leaving 11,088 usable."
05_lookup_table_reference/groeneveld_2006_chf_lookup_table.xlsx,Tabulated reference,,n/a,water,"8 mm vertical tube, normalised",tabulated,Source spreadsheet for the long-format file above,Grid is 24 by 21 by 23.
